product_id,product_code,product_name,thuong_hieu,nhom_san_pham,gia_niem_yet,warranty_months
1,SS0001,Samsung Y2,Samsung,Điện thoại phổ thông,1890000,12
2,SS0002,Samsung Pro Max 14,Samsung,Điện thoại cao cấp,36990000,12
3,SS0003,Samsung Tai nghe A8,Samsung,Phụ kiện,590000,6
4,SS0004,Samsung Pin dự phòng A9,Samsung,Phụ kiện,320000,6
5,SS0005,Samsung Plus 13,Samsung,Điện thoại tầm trung,7990000,12
6,SS0006,Samsung Tab A11,Samsung,Máy tính bảng,5990000,12
7,SS0007,Samsung Plus 14,Samsung,Điện thoại tầm trung,6490000,12
8,SS0008,Samsung Y3,Samsung,Điện thoại phổ thông,1890000,12
9,SS0009,Samsung Sạc nhanh Pro7,Samsung,Phụ kiện,320000,6
10,SS0010,Samsung Neo 11,Samsung,Điện thoại tầm trung,6490000,12
11,SS0011,Samsung Ultra 13,Samsung,Điện thoại cao cấp,36990000,12
12,SS0012,Samsung Pro Max 13,Samsung,Điện thoại cao cấp,27990000,12
13,SS0013,Samsung Pro Max 14,Samsung,Điện thoại cao cấp,27990000,12
14,SS0014,Samsung Pin dự phòng A4,Samsung,Phụ kiện,250000,6
15,SS0015,Samsung S 14,Samsung,Điện thoại tầm trung,4990000,12
16,SS0016,Samsung Pro Max 14,Samsung,Điện thoại cao cấp,27990000,12
17,SS0017,Samsung Sạc nhanh B5,Samsung,Phụ kiện,320000,6
18,SS0018,Samsung Neo 13,Samsung,Điện thoại tầm trung,9490000,12
19,SS0019,Samsung Plus 14,Samsung,Điện thoại tầm trung,11990000,12
20,SS0020,Samsung Tab M8,Samsung,Máy tính bảng,4590000,12
21,SS0021,Samsung Note 13,Samsung,Điện thoại tầm trung,7990000,12
22,SS0022,Samsung S 10,Samsung,Điện thoại tầm trung,4990000,12
23,SS0023,Samsung Ultra 14,Samsung,Điện thoại cao cấp,36990000,12
24,SS0024,Samsung Plus 11,Samsung,Điện thoại tầm trung,6490000,12
25,SS0025,Samsung Y9,Samsung,Điện thoại phổ thông,3490000,12
26,SS0026,Samsung Ultra 16,Samsung,Điện thoại cao cấp,31990000,12
27,SS0027,Samsung Tab A5,Samsung,Máy tính bảng,12990000,12
